Vitenskapelig navn;Norsk navn;T4KA4;T4KA3&4;T4KA2&3;T4Kontinuitet;Breddegrad;Lengdegrad;Øst;Nord;Geometri
Albatrellus citrinus;lammesopp;1;0;0;0;59.724909;9.957933;216614;6631555;POINT (216614 6631555)
Albatrellus citrinus;lammesopp;1;0;0;0;59.725457;9.957259;216581;6631618;POINT (216581 6631618)
Albatrellus citrinus;lammesopp;1;0;0;0;59.717114;9.980678;217825;6630591;POINT (217825 6630591)
Albatrellus citrinus;lammesopp;1;0;0;0;59.717386;9.980157;217798;6630624;POINT (217798 6630624)
Boletopsis leucomelaena;grangråkjuke;0;1;0;0;59.715746;9.982951;217941;6630429;POINT (217941 6630429)
Chalciporus piperatus;pepperrørsopp;0;0;1;0;59.717386;9.980157;217798;6630624;POINT (217798 6630624)
Chroogomphus rutilus;rabarbrasopp;0;0;1;0;59.717101;9.982097;217904;6630584;POINT (217904 6630584)
Cortinarius claricolor;klyngeslørsopp;0;1;0;0;59.724565;9.959145;216679;6631511;POINT (216679 6631511)
Cortinarius cumatilis;praktslørsopp;0;1;0;0;59.72591;9.957412;216593;6631668;POINT (216593 6631668)
Cortinarius cumatilis;praktslørsopp;0;1;0;0;59.724855;9.957349;216581;6631551;POINT (216581 6631551)
Cortinarius elegantior;gyllenbrun slørsopp;0;1;0;0;59.724674;9.959577;216704;6631521;POINT (216704 6631521)
Cortinarius elegantior;gyllenbrun slørsopp;0;1;0;0;59.724325;9.958436;216637;6631488;POINT (216637 6631488)
Cortinarius elegantior;gyllenbrun slørsopp;0;1;0;0;59.723949;9.957439;216578;6631450;POINT (216578 6631450)
Cortinarius lustratus;hvit melslørsopp;0;1;0;0;59.725444;9.965254;217029;6631583;POINT (217029 6631583)
Cortinarius meinhardii;kanarigul slørsopp;1;0;0;1;59.725946;9.959451;216708;6631663;POINT (216708 6631663)
Cortinarius meinhardii;kanarigul slørsopp;1;0;0;1;59.72432;9.959136;216676;6631484;POINT (216676 6631484)
Cortinarius meinhardii;kanarigul slørsopp;1;0;0;1;59.724307;9.958975;216667;6631483;POINT (216667 6631483)
Cortinarius meinhardii;kanarigul slørsopp;1;0;0;1;59.725041;9.957502;216591;6631571;POINT (216591 6631571)
Cortinarius meinhardii;kanarigul slørsopp;1;0;0;1;59.725249;9.957564;216596;6631594;POINT (216596 6631594)
Cortinarius multiformis;moltegul slørsopp;0;0;1;0;59.71701;9.982097;217904;6630573;POINT (217904 6630573)
Cortinarius multiformis;moltegul slørsopp;0;0;1;0;59.717105;9.981567;217875;6630586;POINT (217875 6630586)
Cortinarius rubicundulus;gulnende slørsopp;0;1;0;1;59.716294;9.982079;217897;6630494;POINT (217897 6630494)
Craterellus lutescens;gul trompetsopp;0;1;0;0;59.717101;9.982097;217904;6630584;POINT (217904 6630584)
Entoloma bloxamii;praktrødspore;1;0;0;0;59.726001;9.962793;216896;6631655;POINT (216896 6631655)
Entoloma incanum;grønn rødspore;1;0;0;0;59.725176;9.964401;216979;6631557;POINT (216979 6631557)
Fomitopsis rosea;rosenkjuke;0;0;0;1;59.724751;9.957834;216607;6631537;POINT (216607 6631537)
Gomphus clavatus;fiolgubbe;0;1;0;0;59.724511;9.958687;216653;6631507;POINT (216653 6631507)
Hydnellum aurantiacum;oransjebrunpigg;0;1;0;0;59.726155;9.956603;216550;6631699;POINT (216550 6631699)
Hydnellum aurantiacum;oransjebrunpigg;0;1;0;0;59.724687;9.958696;216655;6631527;POINT (216655 6631527)
Hydnellum caeruleum;blå brunpigg;0;1;1;1;59.716294;9.982079;217897;6630494;POINT (217897 6630494)
Hydnellum lundellii;vrangstorpigg;0;1;0;0;59.724683;9.957834;216606;6631530;POINT (216606 6631530)
Hydnellum lundellii;vrangstorpigg;0;1;0;0;59.717386;9.980157;217798;6630624;POINT (217798 6630624)
Hydnellum peckii;skarp rustbrunpigg;0;1;0;0;59.716294;9.982079;217897;6630494;POINT (217897 6630494)
Hydnellum peckii;skarp rustbrunpigg;0;1;0;0;59.717386;9.980157;217798;6630624;POINT (217798 6630624)
Hydnellum versipelle;gulbrun storpigg;0;1;0;0;59.724574;9.958876;216664;6631513;POINT (216664 6631513)
Hygrophorus discoideus;gulbrun vokssopp;0;0;1;0;59.724706;9.959819;216718;6631524;POINT (216718 6631524)
Hygrophorus discoideus;gulbrun vokssopp;0;0;1;0;59.724855;9.957349;216581;6631551;POINT (216581 6631551)
Lactarius uvidus;gråfiolett riske;0;0;1;0;59.717114;9.980678;217825;6630591;POINT (217825 6630591)
Phellinus nigrolimitatus;svartsonekjuke;0;0;0;1;59.717295;9.980328;217807;6630613;POINT (217807 6630613)
Phellodon fuligineoalbus;lurvesøtpigg;0;0;1;0;59.725195;9.964859;217005;6631557;POINT (217005 6631557)
Phellodon niger;svartsølvpigg;0;1;0;0;59.716199;9.98243;217916;6630482;POINT (217916 6630482)
Phellodon niger;svartsølvpigg;0;1;0;0;59.716833;9.981918;217892;6630555;POINT (217892 6630555)
Piloderma fallax;gulltråd;0;0;0;1;59.716652;9.981909;217890;6630535;POINT (217890 6630535)
Postia fragilis;flekkjuke;0;0;0;1;59.717295;9.980328;217807;6630613;POINT (217807 6630613)
Ramaria brunneicontusa;gullkorallsopp;0;1;0;1;59.724946;9.957717;216602;6631560;POINT (216602 6631560)
Ramaria flavescens;stor korallsopp;0;1;0;0;59.724538;9.95787;216607;6631514;POINT (216607 6631514)
Ramaria ignicolor;flammekorallsopp;0;1;0;0;59.725448;9.963835;216950;6631589;POINT (216950 6631589)
Ramaria ignicolor;flammekorallsopp;0;1;0;0;59.724968;9.960062;216734;6631552;POINT (216734 6631552)
Ramaria sanguinea;blodflekkorallsopp;1;0;0;1;59.725154;9.963287;216916;6631559;POINT (216916 6631559)
Ramaria sanguinea;blodflekkorallsopp;1;0;0;1;59.725444;9.956513;216539;6631620;POINT (216539 6631620)
Russula foetens;stankkremle;0;0;1;0;59.717101;9.982097;217904;6630584;POINT (217904 6630584)
Sarcodon leucopus;glattstorpigg;1;0;0;0;59.725122;9.959181;216686;6631573;POINT (216686 6631573)
Sarcodon leucopus;glattstorpigg;1;0;0;0;59.725199;9.960062;216736;6631578;POINT (216736 6631578)
Sarcodon leucopus;glattstorpigg;1;0;0;0;59.725249;9.965335;217032;6631561;POINT (217032 6631561)
Sarcodon leucopus;glattstorpigg;1;0;0;0;59.725249;9.962011;216846;6631575;POINT (216846 6631575)
Sarcodon leucopus;glattstorpigg;1;0;0;0;59.725113;9.960196;216743;6631568;POINT (216743 6631568)
Sarcodon leucopus;glattstorpigg;1;0;0;0;59.724864;9.959882;216723;6631541;POINT (216723 6631541)
Sarcodon leucopus;glattstorpigg;1;0;0;0;59.725262;9.957394;216587;6631596;POINT (216587 6631596)
Steccherinum fimbriatum;frynsepiggflak;0;1;0;1;59.716734;9.983337;217971;6630537;POINT (217971 6630537)
Tricholoma colossus;kjempemusserong;0;0;1;0;59.724262;9.958481;216639;6631480;POINT (216639 6631480)
Tricholoma colossus;kjempemusserong;0;0;1;0;59.724176;9.957052;216558;6631477;POINT (216558 6631477)
Tricholoma colossus;kjempemusserong;0;0;1;0;59.725122;9.959181;216686;6631573;POINT (216686 6631573)
Tricholoma colossus;kjempemusserong;0;0;1;0;59.716013;9.98349;217973;6630457;POINT (217973 6630457)
Tricholoma vaccinum;skjeggmusserong;0;0;1;0;59.716013;9.98349;217973;6630457;POINT (217973 6630457)
