livsmk;htypek;gtypek;grunntype
1;T4;T4-C-1;T4-C-01 blåbærskog
1;T4;T4-C-2;T4-C-02 svak lågurtskog
1;T4;T4-C-3;T4-C-03 lågurtskog
1;T4;T4-C-4;T4-C-04 kalklågurtskog
1;T4;T4-C-5;T4-C-05 bærlyngskog
1;T4;T4-C-6;T4-C-06 svak bærlyng-lågurtskog
1;T4;T4-C-7;T4-C-07 bærlyng-lågurtskog
1;T4;T4-C-8;T4-C-08 bærlyng-kalklågurtskog
1;T4;T4-C-9;T4-C-09 lyngskog
1;T4;T4-C-10;T4-C-10 svak lyng-lågurtskog
1;T4;T4-C-11;T4-C-11 lyng-lågurtskog
1;T4;T4-C-12;T4-C-12 lyng-kalklågurtskog
1;T4;T4-C-13;T4-C-13 lavskog
1;T4;T4-C-14;T4-C-14 svak lav-lågurtskog
1;T4;T4-C-15;T4-C-15 lav-lågurtskog
1;T4;T4-C-16;T4-C-16 lav-kalklågurtskog
1;T4;T4-C-17;T4-C-17 storbregneskog
1;T4;T4-C-18;T4-C-18 høgstaudeskog
1;T4;T4-C-19;T4-C-19 litt tørkeutsatt høgstaudeskog
1;T4;T4-C-20;T4-C-20 tørkeutsatt høgstaudeskog
1;T30;T30-C-1;T30-C-1 flomskogsmarker på grus og stein
1;T30;T30-C-2;T30-C-2 flomskogsmarker på finmateriale
1;T30;T30-C-3;T30-C-3 kildepåvirkede flomskogsmarker på finmateriale
1;T30;T30-C-4;T30-C-4 erosjonspreget flomskogsmark
1;T32;T32-C-1;T32-C-01 kalkfattig eng med mindre hevdpreg
1;T32;T32-C-2;T32-C-02 kalkfattig eng med klart hevdpreg
1;T32;T32-C-3;T32-C-03 intermediær eng med mindre hevdpreg
1;T32;T32-C-4;T32-C-04 intermediær eng med klart hevdpreg
1;T32;T32-C-5;T32-C-05 svakt kalkrik eng med mindre hevdpreg
1;T32;T32-C-6;T32-C-06 intermediær eng med svakt preg av gjødsling
1;T32;T32-C-7;T32-C-07 sterkt kalkrik eng med mindre hevdpreg
1;T32;T32-C-8;T32-C-08 sterkt kalkrik eng med klart hevdpreg
1;T32;T32-C-9;T32-C-09 kalkrik fukteng med mindre hevdpreg
1;T32;T32-C-10;T32-C-10 kalkrik fukteng med klart hevdpreg og svakt preg av gjødsling
1;T32;T32-C-11;T32-C-11 kalkfattig tørreng med mindre hevdpreg
1;T32;T32-C-12;T32-C-12 kalkfattig tørreng med klart hevdpreg
1;T32;T32-C-13;T32-C-13 intermediær tørreng med mindre hevdpreg
