livsmk;lauvk;lauvtreslag
1;30;30 Dunbjerk
1;31;31 Hengebjerk
1;32;32 Osp
1;39;39 Bjerk (ikke artsbestemt bjørk)
1;40;40 Eik
1;41;41 Bøk
1;42;42 Ask
1;43;43 Alm
1;44;44 Lind
1;48;48 Spisslønn
1;49;49 Platanlønn
1;50;50 Gråor
1;51;51 Svartor
1;52;52 Selje
1;53;53 Rogn
1;54;54 Hegg
1;55;55 Hassel
1;56;56 Asal
1;57;57 Villeple
1;58;58 Søtkirsebær
1;70;70 Kristtorn
1;59;59 Annet lauv
1;62;62 Ukjent lauv
2;30;30 Dunbjerk
2;31;31 Hengebjerk
2;32;32 Osp
2;39;39 Bjerk (ikke artsbestemt bjørk)
2;40;40 Eik
2;41;41 Bøk
2;42;42 Ask
2;43;43 Alm
2;44;44 Lind
2;48;48 Spisslønn
2;49;49 Platanlønn
2;50;50 Gråor
2;51;51 Svartor
2;52;52 Selje
2;53;53 Rogn
2;54;54 Hegg
2;55;55 Hassel
2;56;56 Asal
2;57;57 Villeple
2;58;58 Søtkirsebær
2;70;70 Kristtorn
2;59;59 Annet lauv
2;62;62 Ukjent lauv
5;30;30 Dunbjerk
5;31;31 Hengebjerk
5;32;32 Osp
5;39;39 Bjørk
5;50;50 Gråor
5;52;52 Selje
5;53;53 Rogn
6;30;30 Dunbjerk
6;31;31 Hengebjerk
6;32;32 Osp
6;39;39 Bjerk (ikke artsbestemt bjørk)
6;40;40 Eik
6;41;41 Bøk
6;42;42 Ask
6;43;43 Alm
6;44;44 Lind
6;48;48 Spisslønn
6;49;49 Platanlønn
6;50;50 Gråor
6;51;51 Svartor
6;52;52 Selje
6;53;53 Rogn
6;54;54 Hegg
6;55;55 Hassel
6;56;56 Asal
6;57;57 Villeple
6;58;58 Søtkirsebær
6;70;70 Kristtorn
6;59;59 Annet lauv
6;62;62 Ukjent lauv
7;30;30 Dunbjerk
7;31;31 Hengebjerk
7;32;32 Osp
7;39;39 Bjerk (ikke artsbestemt bjørk)
7;40;40 Eik
7;41;41 Bøk
7;42;42 Ask
7;43;43 Alm
7;44;44 Lind
7;48;48 Spisslønn
7;49;49 Platanlønn
7;50;50 Gråor
7;51;51 Svartor
7;52;52 Selje
7;53;53 Rogn
7;54;54 Hegg
7;55;55 Hassel
7;56;56 Asal
7;57;57 Villeple
7;58;58 Søtkirsebær
7;70;70 Kristtorn
7;59;59 Annet lauv
7;62;62 Ukjent lauv
9;1;1 Gran
9;2;2 Sitkagran
9;3;3 Edelgran
9;10;10 Furu
9;11;11 Contortafuru
9;20;20 Lerk
9;21;21 Barlind
9;22;22 Einer
9;29;29 Annet bar
9;30;30 Dunbjerk
9;31;31 Hengebjerk
9;32;32 Osp
9;39;39 Bjerk (ikke artsbestemt bjørk)
9;40;40 Eik
9;41;41 Bøk
9;42;42 Ask
9;43;43 Alm
9;44;44 Lind
9;48;48 Spisslønn
9;49;49 Platanlønn
9;50;50 Gråor
9;51;51 Svartor
9;52;52 Selje
9;53;53 Rogn
9;54;54 Hegg
9;55;55 Hassel
9;56;56 Asal
9;57;57 Villeple
9;58;58 Søtkirsebær
9;70;70 Kristtorn
9;59;59 Annet lauv
9;61;61 Ukjent bar
9;62;62 Ukjent lauv
